instance=HRC102, CXPB1=0.5, MUTPB1=0.2, MUTPB2=0.2
Algorithm took 23.72s

gen, min, max, mean, std
263, 8394.68825, 10110.71641, 8701.57046, 302.03210
264, 8394.68825, 9629.74503, 8682.08773, 283.61931
265, 8394.68825, 10537.94002, 8725.01383, 375.59090
266, 8394.68825, 10412.22614, 8655.23536, 330.15140
267, 8394.68825, 10196.24162, 8621.65727, 339.46818
268, 8334.66649, 9935.77051, 8660.27086, 360.13393
269, 8334.66649, 10388.07275, 8593.13970, 315.05532
270, 8296.06379, 9768.66834, 8590.21290, 283.36299
271, 8296.06379, 75269.89903, 9210.78489, 6644.28644
272, 8296.06379, 100649.27096, 9504.69673, 9165.10835
273, 8280.57551, 9824.01861, 8555.68241, 276.11104
274, 8280.57551, 9832.38943, 8567.35863, 310.78922
275, 8280.57551, 9570.66550, 8518.75190, 282.26451
276, 8280.57551, 9529.71400, 8473.58738, 222.32630
277, 8241.97281, 9322.23508, 8436.65675, 198.31899
278, 8219.25892, 9990.52320, 8476.42170, 297.86513
279, 8219.25892, 9794.23604, 8493.36588, 284.88944
280, 8219.25892, 44382.31976, 8849.73426, 3582.60830
281, 8219.25892, 9786.19848, 8479.32842, 299.18100
282, 8219.25892, 9821.64343, 8505.63482, 346.57762
283, 8219.25892, 143039.33773, 9805.64680, 13393.03323
284, 8219.25892, 9354.48031, 8402.97912, 244.09053
285, 8219.25892, 9267.90187, 8422.99986, 228.76485
286, 8219.25892, 10157.14667, 8398.94942, 318.21486
287, 8219.25892, 9540.48939, 8356.24456, 231.84280
288, 8219.25892, 9982.30204, 8422.03795, 342.77273
289, 8219.25892, 10245.34793, 8430.24821, 332.11881
290, 8219.25892, 9751.99298, 8393.14824, 294.62949
291, 8219.25892, 9633.71724, 8397.33095, 273.99927
292, 8219.25892, 10107.42531, 8447.86584, 353.11669
293, 8204.13441, 28523.05354, 8562.63918, 2017.42383
294, 8204.13441, 159972.40324, 9892.81239, 15085.08077
295, 8204.13441, 11710.08730, 8444.32742, 465.49075
296, 8198.56902, 9245.18798, 8401.23004, 284.04848
297, 8182.83703, 10158.24405, 8370.98394, 283.68680
298, 8182.83703, 86735.82461, 9205.93432, 7799.48230
299, 8101.62468, 9537.84274, 8420.37995, 326.21305
300, 8182.83703, 9857.22269, 8387.61080, 274.07128
301, 8182.83703, 10191.21806, 8420.18991, 365.09926
