g, min, max, mean, std
448, 28833.06701, 40613.75413, 30219.62228, 2448.18028
449, 28726.07059, 41261.78748, 29996.27826, 2377.27181
450, 28833.06701, 41722.69508, 30280.80980, 2441.38551
451, 28726.07059, 42481.02795, 30857.52698, 3264.59899
452, 28726.07059, 521096.96562, 34686.72535, 48923.27810
453, 28726.07059, 41854.84836, 29951.84057, 2262.63329
454, 28726.07059, 396804.52805, 33869.22517, 36599.01450
455, 28623.92744, 38538.14503, 29757.08531, 2164.78603
456, 28726.07059, 41089.39967, 29578.97649, 2349.25795
457, 28726.07059, 37699.76435, 29425.22152, 1712.85472
458, 28726.07059, 42559.65951, 30034.77394, 2691.27386
459, 28726.07059, 40958.34442, 30173.01544, 2930.47212
460, 28726.07059, 429799.15623, 33517.18682, 39876.45280
461, 28713.44863, 41095.34442, 29805.05438, 2427.86633
462, 28713.44863, 49946.38821, 29863.79699, 3072.84760
463, 28713.44863, 79352.09249, 30128.54531, 5354.92742
464, 28713.44863, 235824.43442, 31967.83433, 20679.61466
